"CODIGO IMPA","DESCRIÇÃO EM PORTUGUÊS","DESCRIÇÃO EM INGLÊS","Unnamed: 2"
"150316","COBERTOR - MATERIAL: 100%  LÃ - COR: MOSTARDA CLARO - TAMANHO: 1.800MM X 2.400MM                                                                      ","BLANKET WOOL 100% 1800X2400MM CAMEL                                                                                                                   ",""
"150326","COBERTOR - MATERIAL: RAYON-ACRILICO - COR: MOSTARDA CLARA - TAMANHO: 1.400MM X 2.000MM                                                                ","BLANKET RAYON&ACRYL 1400X2000MM CAMEL                                                                                                                 ",""
"150327","COBERTOR - MATERIAL: RAYON-ACRILICO - COR: AZUL - TAMANHO: 1.400MM X 2.000MM                                                                          ","BLANKET RAYON&ACRYL 1400X2000MM BLUE                                                                                                                  ",""
"150328","COBERTOR - MATERIAL: RAYON-ACRILICO - COR: MOSTARDA CLARA - TAMANHO: 1.800MM X 2.300MM                                                                ","BLANKET RAYON&ACRYL 1800X2300MM CAMEL                                                                                                                 ",""
"150329","COBERTOR - MATERIAL: RAYON-ACRILICO - COR: AZUL - TAMANHO: 1.800MM X 2.300MM                                                                          ","BLANKET RAYON&ACRYL 1800X2300MM BLUE                                                                                                                  ",""
"150341","COBERTOR - MATERIAL: 100% ACRILICO -  COR: MOSTARDA CLARA - TAMANHO: 1.400MM X 2.000MM                                                                ","BLANKET ACRYL 100% 1400X2000MM CAMEL                                                                                                                  ",""
"150342","COBERTOR - MATERIAL: 100% ACRILICO - COR: AZUL - 1.400MM X 2.000MM                                                                                    ","BLANKET ACRYL 100% 1400X2000MM BLUE                                                                                                                   ",""
"150343","COBERTOR - MATERIAL: 100% ACRILICO - COR: CINZA - 1.400MM X 2.000MM                                                                                   ","BLANKET ACRYL 100% 1400X2000MM GRAY                                                                                                                   ",""
"150346","COBERTOR ACRILICO MOSTARDA CLARA 1500MM X 2000MM                                                                                                      ","BLANKET ACRYL 100% 1500X2000MM CAMEL                                                                                                                  ",""
"150347","COBERTOR - MATERIAL: 100% ACRILICO - COR: AZUL - 1.500MM X 2.000MM                                                                                    ","BLANKET ACRYL 100% 1500X2000MM BLUE                                                                                                                   ",""
"150351","COBERTOR - MATERIAL: 100% ACRILICO - COR: MOSTARDA CLARA - 1.800MM X 2.300MM                                                                          ","BLANKET ACRYL 100% 1800X2300MM CAMEL                                                                                                                  ",""
"150352","COBERTOR - MATERIAL: 100%  ACRILICO - COR: AZUL - 1.800MM X 2.300MM                                                                                   ","BLANKET ACRYL 100% 1800X2300MM BLUE                                                                                                                   ",""
"150371","COLCHA - TIPO: ACOLCHOADA - COR: BRANCA - TAMANHO: 1.500MM X 2.400MM                                                                                  ","BED SPREAD COTTON CHECK 1500X2400MM                                                                                                                   ",""
"150372","COLCHA  - TIPO: ACOLCHOADA - COR: AXADREZADO - TAMANHO: 1.500MM X 2.400MM                                                                             ","BED SPREAD COTTON TARTAN CHECK 1500X2400MM                                                                                                            ",""
"150373","COLCHA - TIPO: ACOLCHOADA - COR: BRANCA - TAMANHO: 1.800MM X 2.600MM                                                                                  ","BED SPREAD COTTON CHECK 1800X2600MM                                                                                                                   ",""
"150374","COLCHA - TIPO: ACOLCHOADA  - COR: AXADREZADO - TAMANHO: 1.800MM X 2.600MM                                                                             ","BED SPREAD COTTON TARTAN CHECK 1800X2600MM                                                                                                            ",""
"150401","CASACO P/ COZINHEIRO E COMISSÁRIO - TIPO: COLARINHO FECHADO - COR: BRANCO - TAMANHO: M                                                                ","COAT CLOSED COLLAR WHITE SANFORIZED M                                                                                                                 ",""
"150402","CASACO P/ COZINHEIRO E COMISSÁRIO - TIPO: COLARINHO FECHADO - COR: BRANCO - TAMANHO: G                                                                ","COAT CLOSED COLLAR WHITE SANFORIZED L                                                                                                                 ",""
"150403","CASACO P/ COZINHEIRO E COMISSÁRIO - TIPO: COLARINHO FECHADO - COR: BRANCO - TAMANHO: GG                                                               ","COAT CLOSED COLLAR WHITE SANFORIZED LL                                                                                                                ",""
"150406","CASACO P/ COZINHEIRO E COMISSÁRIO - TIPO: ACABAMENTO REGULAR -COR: BRANCO - TAMANHO: M                                                                ","COAT REGULAR FINISH WHITE SANFORIZED M                                                                                                                ",""
"150407","CASACO P/ COZINHEIRO E COMISSÁRIO - TIPO: ACABAMENTO REGULAR - COR: BRANCO - TAMANHO: G                                                               ","COAT REGULAR FINISH WHITE SANFORIZED L                                                                                                                ",""
"150408","CASACO P/ COZINHEIRO E COMISSÁRIO - TIPO: ACABAMENTO REGULAR - COR: BRANCO - TAMANHO: GG                                                              ","COAT REGULAR FINISH WHITE SANFORIZED LL                                                                                                               ",""
"150411","CASACO P/ COZINHEIRO E COMISSÁRIO - TIPO: ABOTOAMENTO LATERAL C/ PEITO SOBREPOSTO - COR: BRANCO - TAMANHO: M                                          ","COAT COOKS DOUBLE BREASTED WHITE SANFORIZED M                                                                                                         ",""
"150412","CASACO P/ COZINHEIRO E COMISSÁRIO - TIPO: ABOTOAMENTO LATERAL C/ PEITO SOBREPOSTO - COR: BRANCO - TAMANHO: G                                          ","COAT COOKS DOUBLE BREASTED WHITE SANFORIZED L                                                                                                         ",""
"150413","CASACO P/ COZINHEIRO E COMISSÁRIO - TIPO: ABOTOAMENTO LATERAL C/ PEITO SOBREPOSTO - COR: BRANCO - TAMANHO: GG                                         ","COAT COOKS DOUBLE BREASTED WHITE SANFORIZED LL                                                                                                        ",""
"150421","CALÇA P/ COZINHEIRO E COMISSÁRIO - COR: BRANCA - TAMANHO: M                                                                                           ","TROUSERS COTTON WHITE SANFORIZED M                                                                                                                    ",""
"150422","CALÇA P/ COZINHEIRO E COMISSÁRIO - COR: BRANCA - TAMANHO: G                                                                                           ","TROUSERS COTTON WHITE SANFORIZED L                                                                                                                    ",""
"150423","CALÇA P/ COZINHEIRO E COMISSÁRIO - COR: BRANCA - TAMANHO: GG                                                                                          ","TROUSERS COTTON WHITE SANFORIZED LL                                                                                                                   ",""
"150426","CALÇA P/ COZINHEIRO E COMISSÁRIO - COR: PRETA - TAMANHO: M                                                                                            ","TROUSERS POLYESTER BLACK M                                                                                                                            ",""
"150427","CALÇA P/ COZINHEIRO E COMISSÁRIO - COR: PRETA - TAMANHO: G                                                                                            ","TROUSERS POLYESTER BLACK L                                                                                                                            ",""
"150428","CALÇA P/ COZINHEIRO E COMISSÁRIO - COR: PRETA - TAMANHO: GG                                                                                           ","TROUSERS POLYESTER BLACK LL                                                                                                                           ",""
"150431","CALCA P/COZINHEIRO TAMANHO M                                                                                                                          ","TROUSERS COTTON&POLYESTER STRIPED M                                                                                                                   ",""
"150432","CALCA P/COZINHEIRO TAMANHO L                                                                                                                          ","TROUSERS COTTON&POLYESTER STRIPED L                                                                                                                   ",""
"150433","CALÇA P/ COZINHEIRO E COMISSÁRIO - COR: LISTRADA - TAMANHO: GG                                                                                        ","TROUSERS COTTON&POLYESTER STRIPED LL                                                                                                                  ",""
"150441","CAMISA  - MATERIAL: ALGODÃO - TIPO: MANGA LONGA - COR: BRANCA - TAMANHO: M                                                                            ","SHIRT LONG SLEEVES COTTON WHITE M                                                                                                                     ",""
"150442","CAMISA  - MATERIAL: ALGODÃO - TIPO: MANGA LONGA - COR: BRANCA - TAMANHO: G                                                                            ","SHIRT LONG SLEEVES COTTON WHITE L                                                                                                                     ",""
"150443","CAMISA  - MATERIAL: ALGODÃO - TIPO: MANGA LONGA - COR: BRANCA - TAMANHO: GG                                                                           ","SHIRT LONG SLEEVES COTTON WHITE LL                                                                                                                    ",""
"150444","CAMISA  - MATERIAL: ALGODÃO - TIPO: MANGA LONGA - COR: BRANCA - TAMANHO: 3G                                                                           ","SHIRT LONG SLEEVES COTTON WHITE 3L                                                                                                                    ",""
"150446","CAMISA  - MATERIAL: ALGODÃO - TIPO: MANGA CURTA - COR: BRANCA - TAMANHO: G                                                                            ","SHIRT SHORT SLEEVES COTTON WHITE M                                                                                                                    ",""
"150447","CAMISA  - MATERIAL: ALGODÃO - TIPO: MANGA CURTA - COR: BRANCA - TAMANHO: M                                                                            ","SHIRT SHORT SLEEVES COTTON WHITE L                                                                                                                    ",""
"150448","CAMISA  - MATERIAL: ALGODÃO - TIPO: MANGA CURTA - COR: BRANCA - TAMANHO: GG                                                                           ","SHIRT SHORT SLEEVES COTTON WHITE LL                                                                                                                   ",""
"150449","CAMISA  - MATERIAL: ALGODÃO - TIPO: MANGA CURTA - COR: BRANCA - TAMANHO: 3G                                                                           ","SHIRT SHORT SLEEVES COTTON WHITE 3L                                                                                                                   ",""
"150451","CHAPÉU P/ COZINHEIRO - MATERIAL: PAPEL - TIPO :CRANIO - COR: BRANCA                                                                                   ","COOK'S CAP PAPER SKULL WHITE                                                                                                                          ",""
"150452","CHAPÉU P/ COZINHEIRO - MATERIAL: PAPEL - TIPO: COPA DE ÁRVORE - COR: BRANCO                                                                           ","COOK'S CAP PAPER CROWN WHITE                                                                                                                          ",""
"150453","CHAPEU DE COZINHEIRO                                                                                                                                  ","COOK'S CAP COTTON SKULL WHITE                                                                                                                         ",""
"150454","CHAPÉU P/ COZINHEIRO - MATERIAL: ALGODÃO - TIPO: COPA DE ÁRVORE - COR: BRANCO                                                                         ","COOK'S CAP COTTON CROWN WHITE                                                                                                                         ",""
"150461","AVENTAL DE COZINHEIRO                                                                                                                                 ","APRON COTTON WHITE WAIST TYPE                                                                                                                         ",""
"150462","AVENTAL DE COZINHEIRO NAPA LONGO                                        ","APRON COTTON WHITE BIB TYPE                                                                                                                         ",""
"150464","AVENTAL DE COZINHEIRO VINIL                                       ","COOK'S APRON VINIL                                                                                                                         ",""
"150471","GRAVATA BORBOLETA - COR: PRETA                                                                                                                        ","BOW TIE BLACK                                                                                                                                         ",""
"150501","SACOS PARA LAVANDERIA - MATERIAL: LONA - 450MM X 1.170MM                                                                                              ","LAUNDRY BAG CANVAS #11 D450XH1170MM                                                                                                                   ",""
"150521","VARAL C/ GANCHO - TIPO: P/ SECAGEM DE ROUPA - TAMANHO: 5 METROS                                                                                       ","LINE LAUNDRY 5MTR WITH HOOK                                                                                                                           ",""
"150522","VARAL C/ GANCHO  - TIPO: P/ SECAGEM DE ROUPA - TAMANHO: 200 METROS                                                                                    ","LINE LAUNDRY 200MTR                                                                                                                                   ",""
"150526","CABIDE P/ CASACOS - MATERIAL: LAQUEADO EM MADEIRA - TIPO: C/ GANCHO EM METAL                                                                          ","HANGER COAT WOOD                                                                                                                                      ",""
"150527","CABIDE P/ CASACOS - MATERIAL: PLÁSTICO - TIPO: FORMATO TUBULAR E INQUEBRÁVEL                                                                          ","HANGER COAT PLASTIC                                                                                                                                   ",""
"150531","CESTAS PLÁSTICA - TIPO: P/ ARMAZENAGEM - TAMANHO: C620MM X L440MM X A340MM                                                                            ","STORAGE BASKET PLASTIC 620X440X340MM                                                                                                                  ",""
"150532","CESTA PLÁSTICA - TIPO: P/ ARMAZENAGEM - TAMANHO: C600MM X L430MM X A300MM                                                                             ","STORAGE BASKET PLASTIC 600X430X300MM                                                                                                                  ",""
"150546","CAIXA PLASTICA - TIPO: P/ ARMAZENAGEM - TAMANHO: C535MM X L365MM X A398MM                                                                             ","CONTAINER PLASTIC CLEAR W/LID. INNER SIZE 535X365X398MM",""
"150600","TECIDO DE MESA EM VINIL BRANCO - TIPOS: QUADRADO OU REDONDO - 1.200MM                                                                                 ","TABLE CLOTH 1.200 X SQUARE OR ROUND X VINYL X WHITE                                                                                                   ",""
"150601","TOALHA DE BANHO ALGODAO - BRANCA -  700MM X 1400MM                                                                                                    ","BATH TOWEL COTTON WHITE 700MM X 1400MM                                                                                                                ",""
"150602","TOALHA DE BANHO COR: AZUL -700MM X 1400MM                                                                                                             ","BATH TOWEL COTTON BLUE 700MM X 1400MM                                                                                                                 ",""
"150603","TOALHA DE BANHO COR: BRANCA -670MM X 1270MM                                                                                                             ","BATH TOWEL COTTON WHITE 670MM X 1270MM                                                                                                                 ",""
"150606","TOALHA DE ROSTO 100% ALGODAO BRANCA 450MM X 800MM                                                                                                     ","FACE TOWEL COTTON WHITE 450MM X 800MM                                                                                                                 ",""
"150607","TOALHA DE ROSTO: 100% ALGODAO: AZUL - 450MM X 800MM                                                                                                   ","FACE TOWEL COTTON BLUE 450MM X 800MM                                                                                                                  ",""
"150611","TOALHA P/ LIMPEZA DE SUOR 300X760MM - BRANCA                                                                                                          ","SWEAT TOWEL COTTON 300X760MM WHITE                                                                                                                    ",""
"150616","ESPONJA - MATERIAL: TECIDO - TIPO: P/ LIMPAR PRATO - TAMANHO: 350MM X 450MM                                                                           ","SPONGE CLOTH ALL COTTON 350X450MM                                                                                                                     ",""
"150617","PANO DE PRATO                                                                                                                                         ","PANTRY CLOTH                                                                                                                                          ",""
"150618","PANO - TIPO: P/ LIMPAR DE VIDRO - TAMANHO: 410MM X 700MM                                                                                              ","GLASS TOWEL COTTON 410X700MM                                                                                                                          ",""
"150621","PANO P/ LIMPEZA                                                                                                                                       ","DUSTER CLOTH                                                                                                                                          ",""
"150626","TECIDO DE CARNEIRO (TRICÔ)  TIPO: P/ ENROLAR CARNES - LARGURA: 400MM                                                                                  ","MUTTON CLOTH                                                                                                                                          ",""
"150651","TOALHA DE MESA - MATERIAL: PLÁSTICO C/ TECIDO DE ALGODÃO - LARGURA 1.070 MM                                                                           ","TABLE CLOTHING PLASTIC COTTON LINED WIDTH 1200MM                                                                                                      ",""
"150652","TOALHA DE MESA INTERCALADA 1.370 MM                                                                                                                   ","TABLE CLOTHING PLASTIC COTTON LINED WIDTH 1370MM                                                                                                      ",""
"150661","COBERTURA P/ MESA OU PISO P/PROTEÇÃO NO PERIODO DE PINTURA - MATERIAL:PLÁSTICO TRANSPARENTE - 0.1MMX915MMX50MTR                                       ","PLASTIC SHEET TRANSPARENT 0.1X915MMX50MTR                                                                                                             ",""
"150663","COBERTURA P/ MESA/PISO P/ PROT. EM PERIODO DE PINTURA - MATERIAL: PLÁSTICO TRANSPARENTE - 0.1MM X1.830MM X50MTR                                       ","TRANSPARENT PLASTIC SHEETING - SIZE: 0.1MM X 1.830MM X 50MTR                                                                                          ",""
"150664","COBERTURA P/ MESA/PISO P/ PROT. EM PERIODO DE PINTURA - MATERIAL: PLÁSTICO TRANSPARENTE - 0.1MMX 915MM X100MTR                                        ","PLASTIC SHEET TRANSPARENT 0.1X915MMX100MTR                                                                                                            ",""
"150666","COBERTURA P/ MESA/PISO P/ PROT. EM PERIODO DE PINTURA - MATERIAL: PLÁSTICO TRANSPARENTE - 0.2MM X 915MM X 50MTR                                       ","PLASTIC SHEET TRANSPARENT 0.2X915MMX50MTR                                                                                                             ",""
"150667","COBERTURA P/ MESA/PISO P/ PROT. EM PERIODO DE PINTURA - MATERIAL: PLÁSTICO TRANSPARENTE - 0.2MM X1.370MM X50MTR                                       ","PLASTIC SHEET TRANSPARENT 0.2X1370MMX50MTR                                                                                                            ",""
"150668","COBERTURA P/ MESA/PISO P/ PROT. EM PERIODO DE PINTURA - MATERIAL:PLÁSTICO TRANSPARENTE - 0.2MM X 1.830MMX 50MTR                                       ","PLASTIC SHEET TRANSPARENT 0.2X1830MMX50MTR                                                                                                            ",""
"150671","COBERTURA P/ MESA/PISO P/ PROT. EM PERIODO DE PINTURA - MATERIAL: PLÁSTICO TRANSPARENTE - 0.3MM X 915MM X 30MTR                                       ","PLASTIC SHEET TRANSPARENT 0.3X915MMX30MTR                                                                                                             ",""
"150672","COBERTURA P/ MESA/PISO P/ PROT. EM PERIODO DE PINTURA - MATERIAL: PLÁSTICO TRANSPARENTE - 0.3MMX1.370MM X 30MTR                                       ","PLASTIC SHEET TRANSPARENT 0.3X1370MMX30MTR                                                                                                            ",""
"150673","COBERTURA P/ MESA/PISO P/ PROT. EM PERIODO DE PINTURA - MATERIAL: PLÁSTICO TRANSPARENTE - 0.3MM X1.830MM X30MTR                                       ","PLASTIC SHEET TRANSPARENT 0.3X1830MMX30MTR                                                                                                            ",""
"150676","COBERTURA DE MESA/PISO P/ PROT. EM PERIODO DE PINTURA - MATERIAL: PLÁSTICO TRANSPARENTE - 0.5MM X 915MM X 30MTR                                       ","PLASTIC SHEET TRANSPARENT 0.5X915MMX30MTR                                                                                                             ",""
"150677","COBERTURA P/ MESA/PISO P/ PROT. EM PERIODO DE PINTURA -MATERIAL:PLÁSTICO TRANSPARENTE - 0.5MM X 1.370MM X 30MTR                                       ","PLASTIC SHEET TRANSPARENT 0.5X1370MMX30MTR                                                                                                            ",""
"150678","COBERTURA P/ MESA/PISO P/ PROT. EM PERIODO DE PINTURA - MATERIAL: PLÁSTICO TRANSPARENTE - 0.5MMX1.830MM X 30MTR                                       ","PLASTIC SHEET TRANSPARENT 0.5X1830MMX30MTR                                                                                                            ",""
"150679","COBERTURA P/ MESA/PISO P/ PROT. EM PERIODO DE PINTURA - MATERIAL: PLÁSTICO TRANSPARENTE - 1.0MM X 915MM X 10MTR                                       ","PLASTIC SHEET TRANSPARENT 1.0X915MMX10MTR                                                                                                             ",""
"150680","COBERTURA P/ MESA/PISO P/ PROT. EM PERIODO DE PINTURA - MATERIAL: PLÁSTICO TRANSPARENTE - 2.0MM X 915MM X 10MTR                                       ","PLASTIC SHEET TRANSPARENT 2.0X915MMX10MTR                                                                                                             ",""
"150681","COBERTURA - MATERIAL: ESPUMA DE BORRACHA - ESPESSURA: 5 MM                                                                                            ","FOAM RUBBER SHEET MOLTPLAIN 5MM 1X2MTR                                                                                                                ",""
"150682","COBERTURA - MATERIAL: ESPUMA DE BORRACHA - ESPESSURA: 10 MM                                                                                           ","FOAM RUBBER SHEET MOLTPLAIN 10MM 1X2MTR                                                                                                               ",""
"150683","COBERTURA - MATERIAL: ESPUMA DE BORRACHA  - ESPESSURA 15 MM                                                                                           ","FOAM RUBBER SHEET MOLTPLAIN 15MM 1X2MTR                                                                                                               ",""
"150684","COBERTURA - MATERIAL:  ESPUMA DE BORRACHA  - ESPESSURA: 20MM                                                                                          ","FOAM RUBBER SHEET MOLTPLAIN 20MM 1X2MTR                                                                                                               ",""
"150685","COBERTURA - MATERIAL: ESPUMA DE BORRACHA - ESPESSURA: 25MM                                                                                            ","FOAM RUBBER SHEET MOLTPLAIN 25MM 1X2MTR                                                                                                               ",""
"150691","TAPETE EMBORRACHADO 800MM                                                                                                                             ","NON SKID MESH SHEET 800MM                                                                                                                             ",""
"150701","FITA VELCRO - TAMANHO: LARGURA 25MM X COMPRIMENTO 40CM                                                                                                ","TAPE HOOK & LOOP W25MM X L40CM                                                                                                                        ",""
"150702","FITA VELCRO - TAMANHO: LARGURA 25MM X COMPRIMENTO 1.5MTR                                                                                              ","TAPE HOOK & LOOP W25MM X L1.5MTR                                                                                                                      ",""
"150703","FITA VELCRO - TAMANHO: LARGURA 25MM X COMPRIMENTO 3MTR                                                                                                ","TAPE HOOK & LOOP W25MM X L3MTR                                                                                                                        ",""
"150704","FITA VELCRO - TAMANHO: LARGURA 25MM X COMPRIMENTO 25MTR                                                                                               ","TAPE HOOK & LOOP W25MM X L25MTR                                                                                                                       ",""
"150705","FITA VELCRO - TAMANHO: LARGURA 50MM X COMPRIMENTO 25MTR                                                                                               ","TAPE HOOK & LOOP W50MM X L25MTR                                                                                                                       ",""
"150706","FITA VELCRO - TAMANHO: LARGURA 100MM X COMPRIMENTO 25MTR                                                                                              ","TAPE HOOK & LOOP W100MM X L25MTR                                                                                                                      ",""
"150714","CURTINA DE BANHEIRO","SHOWER COURTAINS",""
"190102","COBERTURA P/ MESA/PISO P/ PROT. EM PERÍODO DE PINTURA - MATERIAL:PLÁSTICO TRANSPARENTE - 0.1MM X1.370MM X100MTR                                       ","PLASTIC SHEET TRANSPARENT 0.1X1370MMX30MTR                                                                                                            ",""
"17","UTENSÍLIOS PARA SERVIR ENTRADAS - MATERIAL: VIDRO - TIPO: FORMA DE FOLHA - TAMANHO: 240MM X 90MM X 25MM                                               ","GLASS HORS D OEUVRE DISHES LEAF SHAPED 240 X 90 X 25                                                                                                  ",""
"17","UTENSÍLIOS PARA SERVIR ENTRADAS - MATERIAL: VIDRO - TIPO: FORMA DE FOLHA - TAMANHO: 295MM X 112MM X 35MM                                              ","GLASS HORS D'OEUVRE DISHES LEAF SHAPED 295 X 112 X 35                                                                                                 ",""
"1729","ESCORREDOR P/ XÍCARAS OU COPOS - TAMANHO EXTERNO: 502MMX502MM                                                                                         ","GLASS OR TEA CUP RACK W/ FURTHER DETAILS                                                                                                              ",""
"1729","ESCORREDOR P/ XÍCARAS OU COPOS - TAMANHO EXTERNO: 502MMX502MM                                                                                         ","GLASS OR TEA CUP RACK W/ FURTHER DETAILS                                                                                                              ",""
"1737","LOUCA (PORCELANA) DE QUALIDADE PADRAO LINHA AZUL                                                                                                      ","STANDARD QUALITY CHINAWARE AZUL LINED                                                                                                                 ",""
"1737","LOUCA DE MESA EM ACO INOXIDAVEL. ESTILO COREANO                                                                                                       ","KOREAN STYLE AçO INOX TABLEWARE                                                                                                                       ",""
"17060","COPOS DESCARTAVEIS 200MLX 100                                                                                                                         ","DISPOSABLE CUPS 200ML C 100                                                                                                                           ",""
"170101","FACA  - MATERIAL: ACO INOX.CROMO-18 - COMP: 233MM                                                                                                     ","DINNER KNIFE 18-CHROME 233MM                                                                                                                          ",""
"170102","GARFO - MATERIAL: LÂMINA EM AÇO INOXIDÁVEL - TIPO: P/ COZINHA. C/ CABO DE MADEIRA - COMPRIMENTO TOTAL: 420MM                                          ","COOK'S FORK STAINLESS STEEL WITH WOODEN HANDLE 420MM                                                                                                  ",""
"170103","COLHER ACO INOX - TIPO: P/MESA. C/CABO GRAVADO EM CROMO-18 - COMP 203MM                                                                               ","TABLE SPOON 18-CHROME STAINLESS ENGRAVED HANDLE                                                                                                       ",""
"170104","COLHER DE SOPA (C/ CABO GRAVADO EM CROMO-18) - MATERIAL: AÇO INOXIDÁVEL - COMPRIMENTO: 172MM                                                          ","SOUP SPOON 18-CHROME STAINLESS ENGRAVED HANDLE                                                                                                        ",""
"170105","FACA  - MATERIAL: AÇO INOXIDÁVEL - TIPO: P/ PEIXE. C/CABO GRAVADO EM CROMO-18 - COMPRIMENTO: 210MM                                                    ","FISH KNIFE 18-CHROME STAINLESS ENGRAVED HANDLE                                                                                                        ",""
"170106","GANCHO SILENCIOSO -TIPO:P/PRENDER PORTA - MAT: AÇO INOX -TAM:400MMX366MM - PARAF:4.1MMX4                                                              ","SILENT DOOR HOOK HOOK LENGTH 400MM                                                                                                                    ",""
"170107","FACA  - MATERIAL: AÇO INOXIDÁVEL - TIPO: P/ SOBREMESA. C/CABO GRAVADO EM CROMO-18 - COMPRIMENTO 213MM                                                 ","DESSERT KNIFE 18-CHROME STAINLESS ENGRAVED HANDLE                                                                                                     ",""
"170108","GARFO  - MATERIAL: AÇO INOXIDÁVEL - TIPO: P/ BOLO. C/ CABO GRAVADO EM CROMO-18 - COMPRIMENTO 144MM                                                    ","CAKE FORK 18-CHROME STAINLESS ENGRAVED HANDLE                                                                                                         ",""
"170109","COLHER  - MATERIAL: AÇO INOXIDÁVEL - TIPO: P/ SOBREMESA. C/CABO GRAVADO EM CROMO-18 - COMPRIMENTO 180MM                                               ","DESSERT SPOON 18-CHROME STAINLESS ENGRAVED HANDLE                                                                                                     ",""
"170110","FACA  - MATERIAL: AÇO INOXIDÁVEL - TIPO: P/ FRUTA. C/ CABO GRAVADO EM CROMO-18 - COMPRIMENTO 178MM                                                    ","FRUIT KNIFE 18-CHROME STAINLESS ENGRAVED HANDLE                                                                                                       ",""
"170111","GARFO - MATERIAL: AÇO INOXIDÁVEL - TIPO: P/ BOLO. C/ CABO PLANO LISO - EM CROMO-18  - COMPRIMENTO: 137MM                                              ","CAKE FORK 18-CHROME STAINLESS STEEL PLAIN HANDLE                                                                                                      ",""
"170112","GANCHO SILENCIOSO -TIPO:P/PRENDER PORTA - MAT: AÇO INOX -TAM:300MMX266MM - PARAF:4.1MMX4                                                              ","SILENT DOOR HOOK HOOK LENGTH 300MM                                                                                                                    ",""
"170113","GARFO - MATERIAL: TODO EM AÇO INOXIDÁVEL - TIPO: P/ COZINHA -  COMPRIMENTO TOTAL: 410MM                                                               ","COOK'S FORK STAINLESS STEEL 410MM                                                                                                                     ",""
"170114","FACA - MATERIAL: AÇO INOXIDÁVEL - TIPO: P/ MANTEIGA. C/ CABO GRAVADO EM CROMO-18 - COMPRIMENTO: 150MM                                                 ","BUTTER KNIFE 18-CHROME STAINLESS ENGRAVED HANDLE                                                                                                      ",""
"170115","COLHER - MATERIAL: AÇO INOXIDÁVEL - TIPO: P/ MELÃO. C/ CABO GRAVADO EM CROMO-18 - COMPRIMENTO 198MM                                                   ","MELON SPOON 18-CHROME STAINLESS ENGRAVED HANDLE                                                                                                       ",""
"170116","COLHER - MATERIAL: AÇO INOXIDÁVEL - TIPO: P/ COQUETEL. C/ CABO GRAVADO EM CROMO-18 - COMPRIMENTO: 188MM                                               ","COCKTAIL SPOON 18-CHROME STAINLESS ENGRAVED HANDLE                                                                                                    ",""
"170117","COLHER  - MATERIAL: AÇO INOXIDÁVEL - TIPO: P/ CHÁ. C/ CABO GRAVADO EM CROMO-18 - COMPRIMENTO: 133MM                                                   ","TEA SPOON 18-CHROME STAINLESS ENGRAVED HANDLE                                                                                                         ",""
"170118","COLHER - MATERIAL: AÇO INOXIDÁVEL - TIPO: P/ CAFÉ. C/ CABO GRAVADO EM CROMO-18 - COMPRIMENTO: 119MM                                                   ","COFFEE SPOON 18-CHROME STAINLESS ENGRAVED HANDLE                                                                                                      ",""
"170119","COLHER - MATERIAL: AÇO INOXIDÁVEL - TIPO: P/ SORVETE. C/ CABO GRAVADO EM CROMO-18 - COMPRIMENTO: 132MM                                                ","ICE-CREAM SPOON 18-CHROME STAINLESS ENGRAVED HANDLE                                                                                                   ",""
"170120","GARFO - MATERIAL: AÇO INOXIDÁVEL - TIPO: P/ PEIXE. C/ CABO PLANO LISO- EM CROMO-18 - COMPRIMENTO: 184MM                                               ","FISH FORK 18-CHROME STAINLESS STEEL PLAIN HANDLE                                                                                                      ",""
"170121","COLHER - MATERIAL: AÇO INOXIDÁVEL - TIPO: P/ SERVIR. C/CABO GRAVADO EM CROMO-18 - COMPRIMENTO: 204MM                                                  ","SERVING SPOON 18-CHROME STAINLESS ENGRAVED HANDLE                                                                                                     ",""
"170122","CONCHA - MATERIAL: AÇO INOXIDÁVEL - TIPO: P/ MOLHO. C/ CABO GRAVADO EM CROMO-18 - COMPRIMENTO: 160MM                                                  ","SAUCE LADLE 18-CHROME STAINLESS ENGRAVED HANDLE                                                                                                       ",""
"170123","CONCHA  - MATERIAL: AÇO INOXIDÁVEL - TIPÓ: P/ ACÚCAR. C/ CABO GRAVADO EM CROMO-18 -  COMPRIMENTO: 115MM                                               ","SUGAR LADLE 18-CHROME STAINLESS ENGRAVED HANDLE                                                                                                       ",""
"170151","GARFO - MATERIAL: AÇO INOXIDÁVEL - TIPO: P/ SOBREMESA. C/ CABO PLANO LISO - EM CROMO-18 -  COMPRIMENTO: 185MM                                         ","DESSERT FORK 18-CHROME STAINLESS STEEL PLAIN HANDLE                                                                                                   ",""
"170152","COLHER - MATERIAL: AÇO INOXIDÁVEL - TIPO: P/ SERVIR. C/ CABO PLANO LISO- EM CROMO-18 -  COMPRIMENTO 201MM                                             ","SERVING SPOON 18-CHROME STAINLESS STEEL PLAIN HANDLE                                                                                                  ",""
"170153","GARFO - MATERIA: LÂMINA EM AÇO INOXIDÁVEL - TIPO: P/ CARNE  C/ CABO DE MADEIRA -  COMPRIMENTO TOTAL: 300MM                                            ","MEAT FORK STAINLESS STEEL WITH WOODEN HANDLE 300MM                                                                                                    ",""
