"CODIGO IMPA","DESCRIÇÃO EM PORTUGUÊS","DESCRIÇÃO EM INGLÊS","Unnamed: 2"
"110206","ROUPAS ESPORTIVAS - COTTON SWEAT SUITS - WITHOUT HOOD - ITEM: GRAY M                                                                                  ","SWEAT SUITS WITHOUT HOOD COTTON GRAY SIZE-M                                                                                                           ",""
"110207","ROUPAS ESPORTIVAS - COTTON SWEAT SUITS - WITHOUT HOOD - ITEM: GRAY L                                                                                  ","SWEAT SUITS WITHOUT HOOD COTTON GRAY SIZE-L                                                                                                           ",""
"110208","ROUPAS ESPORTIVAS - COTTON SWEAT SUITS - WITHOUT HOOD - ITEM: GRAY LL                                                                                 ","SWEAT SUITS WITHOUT HOOD COTTON GRAY SIZE-LL                                                                                                          ",""
"110212","ROUPAS ESPORTIVAS - JOGGING PANTS COLOURED - TAMANHO: L                                                                                               ","JOGGING PANTS COLOR SIZE-L                                                                                                                            ",""
"110213","ROUPAS ESPORTIVAS - JOGGING PANTS COLOURED - TAMANHO: LL                                                                                              ","JOGGING PANTS COLOR SIZE-LL                                                                                                                           ",""
"110211","ROUPAS ESPORTIVAS - JOGGING PANTS COLOURED - TAMANHO: M                                                                                               ","JOGGING PANTS COLOR SIZE-M                                                                                                                            ",""
"110241","ROUPAS ESPORTIVAS - SWIMMING TRUNKS - TAMANHO: L                                                                                                      ","TRUNKS SWIMMING SIZE-L                                                                                                                                ",""
"110242","ROUPAS ESPORTIVAS - SWIMMING TRUNKS - TAMANHO: LL                                                                                                     ","TRUNKS SWIMMING SIZE LL                                                                                                                               ",""
"110240","ROUPAS ESPORTIVAS - SWIMMING TRUNKS - TAMANHO: M                                                                                                      ","TRUNKS SWIMMING SIZE-M                                                                                                                                ",""
"110706","SAL DE FRUTAS ENO                                                                                                                                     ","ENO FRUIT SALT                                                                                                                                        ",""
"112207","SANDALIAS - PLASTICO - TAMANHO: L                                                                                                                     ","SANDALS PLASTIC SIZE-L                                                                                                                                ",""
"112208","SANDALIAS - PLASTICO - TAMANHO: LL                                                                                                                    ","SANDALS PLASTIC SIZE-LL                                                                                                                               ",""
"112206","SANDALIAS - PLASTICO - TAMANHO: M                                                                                                                     ","SANDALS PLASTIC SIZE-M                                                                                                                                ",""
"112202","SANDALIAS - PRAIA - TAMANHO: L                                                                                                                        ","SANDALS BEACH SIZE-L                                                                                                                                  ",""
"112203","SANDALIAS - PRAIA - TAMANHO: LL                                                                                                                       ","SANDALS BEACH SIZE-LL                                                                                                                                 ",""
"112201","SANDALIAS - PRAIA - TAMANHO: M                                                                                                                        ","SANDALS BEACH SIZE-M                                                                                                                                  ",""
"112212","SANDALIAS - TIPO CHINELO DE PLASTICO - TAMANHO: L                                                                                                     ","SANDALS PLASTIC SLIPPER-TYPE SIZE-L                                                                                                                   ",""
"112213","SANDALIAS - TIPO CHINELO DE PLASTICO - TAMANHO: LL                                                                                                    ","SANDALS PLASTIC SLIPPER-TYPE SIZE-LL                                                                                                                  ",""
"112211","SANDALIAS - TIPO CHINELO DE PLASTICO - TAMANHO: M                                                                                                     ","SANDALS PLASTIC SLIPPER-TYPE SIZE-M                                                                                                                   ",""
"110160","SAPATOS DE EXERCICIO (TENIS) - 25.0 CM (KIND OF SPORTS) - PR                                                                                          ","EXERCISE SHOES 25CM                                                                                                                                   ",""
"110161","SAPATOS DE EXERCICIO (TENIS) - 25.5 CM (KIND OF SPORTS) - PR                                                                                          ","EXERCISE SHOES 25.5CM                                                                                                                                 ",""
"110162","SAPATOS DE EXERCICIO (TENIS) - 26.0 CM (KIND OF SPORTS) - PR                                                                                          ","EXERCISE SHOES 26CM                                                                                                                                   ",""
"110163","SAPATOS DE EXERCICIO (TENIS) - 26.5 CM (KIND OF SPORTS) - PR                                                                                          ","EXERCISE SHOES 26.5CM                                                                                                                                 ",""
"110164","SAPATOS DE EXERCICIO (TENIS) - 27.0 CM (KIND OF SPORTS) - PR                                                                                          ","EXERCISE SHOES 27CM                                                                                                                                   ",""
"110165","SAPATOS DE EXERCICIO (TENIS) - 27.5 CM (KIND OF SPORTS) - PR                                                                                          ","EXERCISE SHOES 27.5CM                                                                                                                                 ",""
"110166","SAPATOS DE EXERCICIO (TENIS) - 28.0 CM (KIND OF SPORTS) - PR                                                                                          ","EXERCISE SHOES 28CM                                                                                                                                   ",""
"110150","SAPATOS DE JOGGING (TENIS) - 25.0 CM - PR                                                                                                             ","JOGGING SHOES 25CM                                                                                                                                    ",""
"110151","SAPATOS DE JOGGING (TENIS) - 25.5 CM - PR                                                                                                             ","JOGGING SHOES 25.5CM                                                                                                                                  ",""
"110152","SAPATOS DE JOGGING (TENIS) - 26.0 CM - PR                                                                                                             ","JOGGING SHOES 26CM                                                                                                                                    ",""
"110153","SAPATOS DE JOGGING (TENIS) - 26.5 CM - PR                                                                                                             ","JOGGING SHOES 26.5CM                                                                                                                                  ",""
"110154","SAPATOS DE JOGGING (TENIS) - 27.0 CM - PR                                                                                                             ","JOGGING SHOES 27CM                                                                                                                                    ",""
"110155","SAPATOS DE JOGGING (TENIS) - 27.5 CM - PR                                                                                                             ","JOGGING SHOES 27.5CM                                                                                                                                  ",""
